tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
darglint,src\intellicrack\core\orchestrator.py,442,,,DAR401,DAR401,[_run_agent_loop] -r CancelledError,,,,,,,_run_agent_loop,,,,,
darglint,src\intellicrack\core\orchestrator.py,447,,,DAR402,DAR402,[_run_agent_loop] +r asyncio.CancelledError,,,,,,,_run_agent_loop,,,,,
darglint,src\intellicrack\core\orchestrator.py,1002,,,DAR401,DAR401,[_stream_response] -r CancelledError,,,,,,,_stream_response,,,,,
darglint,src\intellicrack\core\orchestrator.py,1022,,,DAR402,DAR402,[_stream_response] +r asyncio.CancelledError,,,,,,,_stream_response,,,,,
darglint,src\intellicrack\core\orchestrator.py,1119,,,DAR401,DAR401,[_execute_tool_calls] -r CancelledError,,,,,,,_execute_tool_calls,,,,,
darglint,src\intellicrack\core\orchestrator.py,1129,,,DAR402,DAR402,[_execute_tool_calls] +r asyncio.CancelledError,,,,,,,_execute_tool_calls,,,,,
darglint,src\intellicrack\core\transform_pipeline.py,225,,,DAR202,DAR202,[name] + return,,,,,,,name,,,,,
darglint,src\intellicrack\core\transform_pipeline.py,234,,,DAR202,DAR202,[category] + return,,,,,,,category,,,,,
darglint,src\intellicrack\core\transform_pipeline.py,254,,,DAR202,DAR202,[process] + return,,,,,,,process,,,,,
darglint,src\intellicrack\core\session.py,287,,,DAR401,DAR401,[save] -r OSError,,,,,,,save,,,,,
darglint,src\intellicrack\core\session.py,287,,,DAR401,DAR401,[save] -r sqlite3.Error,,,,,,,save,,,,,
darglint,src\intellicrack\providers\local_transformers.py,790,,,DAR401,DAR401,[_load_model_for_cuda] -r OSError,,,,,,,_load_model_for_cuda,,,,,
darglint,src\intellicrack\providers\local_transformers.py,790,,,DAR401,DAR401,[_load_model_for_cuda] -r ValueError,,,,,,,_load_model_for_cuda,,,,,
darglint,src\intellicrack\ui\panels\hex_editor\_sections.py,44,,,DAR202,DAR202,[extract_strings] + return,,,,,,,extract_strings,,,,,
