tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
uncalled,src\intellicrack\ui\panels\hex_editor_widget.py,,,,,,Unused function: clear_highlights,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor_widget.py,,,,,,Unused function: contextMenuEvent,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor_widget.py,,,,,,Unused function: keyPressEvent,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor_widget.py,,,,,,Unused function: mouseMoveEvent,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor_widget.py,,,,,,Unused function: mouseReleaseEvent,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor_widget.py,,,,,,Unused function: paintEvent,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor_widget.py,,,,,,Unused function: wheelEvent,,,,,,,,,,,,
uncalled,src\intellicrack\ui\tools.py,,,,,,Unused function: add_frida_hook_entry,,,,,,,,,,,,
uncalled,src\intellicrack\ui\tools.py,,,,,,Unused function: get_bridge_for_tool,,,,,,,,,,,,
uncalled,src\intellicrack\ui\tools.py,,,,,,Unused function: get_highlighter,,,,,,,,,,,,
uncalled,src\intellicrack\ui\tools.py,,,,,,Unused function: get_sandbox_backend,,,,,,,,,,,,
uncalled,src\intellicrack\ui\tools.py,,,,,,Unused function: load_sandbox_report,,,,,,,,,,,,
uncalled,src\intellicrack\ui\tools.py,,,,,,Unused function: log_frida_message,,,,,,,,,,,,
uncalled,src\intellicrack\ui\tools.py,,,,,,Unused function: wire_sandbox_backend,,,,,,,,,,,,
uncalled,src\intellicrack\core\template_manager.py,,,,,,Unused function: bootstrap_builtins,,,,,,,,,,,,
uncalled,src\intellicrack\core\template_manager.py,,,,,,Unused function: delete_user_template,,,,,,,,,,,,
uncalled,src\intellicrack\core\template_manager.py,,,,,,Unused function: list_all_templates,,,,,,,,,,,,
uncalled,src\intellicrack\core\template_manager.py,,,,,,Unused function: list_hexpat_by_category,,,,,,,,,,,,
uncalled,src\intellicrack\core\template_manager.py,,,,,,Unused function: load_template,,,,,,,,,,,,
uncalled,src\intellicrack\core\template_manager.py,,,,,,Unused function: save_user_template,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor\_widgets.py,,,,,,Unused function: chunk_size_kb,,,,,,,,,,,,
uncalled,src\intellicrack\ui\panels\hex_editor\_widgets.py,,,,,,Unused function: memory_budget_mb,,,,,,,,,,,,
