tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
radon,src\intellicrack\bridges\schemas.py,309,0,,,,function 'validate_tool_parameter' - complexity 11 (rank C),,11,C,validate_tool_parameter,F,,,,,,,
radon,src\intellicrack\bridges\x64dbg.py,252,0,,,,function '_read_unicode_string_from_params' - complexity 11 (rank C),,11,C,_read_unicode_string_from_params,F,,,,,,,
radon,src\intellicrack\bridges\x64dbg.py,1619,4,,,,method 'X64DbgBridge.get_memory_regions' - complexity 11 (rank C),,11,C,X64DbgBridge.get_memory_regions,M,,,,,,,
radon,src\intellicrack\core\orchestrator.py,591,4,,,,method 'Orchestrator._call_llm' - complexity 13 (rank C),,13,C,Orchestrator._call_llm,M,,,,,,,
radon,src\intellicrack\core\orchestrator.py,371,4,,,,method 'Orchestrator._run_agent_loop' - complexity 12 (rank C),,12,C,Orchestrator._run_agent_loop,M,,,,,,,
radon,src\intellicrack\providers\grok.py,369,4,,,,method 'GrokProvider.chat_stream' - complexity 13 (rank C),,13,C,GrokProvider.chat_stream,M,,,,,,,
radon,src\intellicrack\providers\grok.py,449,4,,,,method 'GrokProvider._convert_messages_to_provider_format' - complexity 11 (rank C),,11,C,GrokProvider._convert_messages_to_provider_format,M,,,,,,,
radon,src\intellicrack\providers\local_transformers.py,838,4,,,,method 'LocalTransformersProvider._parse_tool_calls' - complexity 16 (rank C),,16,C,LocalTransformersProvider._parse_tool_calls,M,,,,,,,
radon,src\intellicrack\providers\local_transformers.py,938,4,,,,method 'LocalTransformersProvider._estimate_context_window' - complexity 12 (rank C),,12,C,LocalTransformersProvider._estimate_context_window,M,,,,,,,
radon,src\intellicrack\providers\model_loader.py,469,0,,,,function 'load_model_for_xpu' - complexity 14 (rank C),,14,C,load_model_for_xpu,F,,,,,,,
radon,src\intellicrack\providers\model_loader.py,581,0,,,,function 'load_model_for_cpu' - complexity 12 (rank C),,12,C,load_model_for_cpu,F,,,,,,,
radon,src\intellicrack\providers\ollama.py,285,4,,,,method 'OllamaProvider._get_client_and_model' - complexity 11 (rank C),,11,C,OllamaProvider._get_client_and_model,M,,,,,,,
radon,src\intellicrack\providers\ollama.py,596,4,,,,method 'OllamaProvider._convert_messages_to_provider_format' - complexity 11 (rank C),,11,C,OllamaProvider._convert_messages_to_provider_format,M,,,,,,,
radon,src\intellicrack\providers\openai.py,401,4,,,,method 'OpenAIProvider.chat_stream' - complexity 13 (rank C),,13,C,OpenAIProvider.chat_stream,M,,,,,,,
radon,src\intellicrack\providers\openai.py,491,4,,,,method 'OpenAIProvider._convert_messages_to_provider_format' - complexity 11 (rank C),,11,C,OpenAIProvider._convert_messages_to_provider_format,M,,,,,,,
radon,src\intellicrack\providers\xpu_utils.py,217,0,,,,function 'get_xpu_device_info' - complexity 22 (rank D),,22,D,get_xpu_device_info,F,,,,,,,
radon,src\intellicrack\providers\xpu_utils.py,419,0,,,,function 'get_xpu_memory_info' - complexity 11 (rank C),,11,C,get_xpu_memory_info,F,,,,,,,
radon,src\intellicrack\sandbox\windows.py,301,4,,,,method 'WindowsSandbox._generate_wsb_config' - complexity 12 (rank C),,12,C,WindowsSandbox._generate_wsb_config,M,,,,,,,
radon,src\intellicrack\sandbox\windows.py,548,4,,,,method 'WindowsSandbox.run_binary' - complexity 12 (rank C),,12,C,WindowsSandbox.run_binary,M,,,,,,,
radon,src\intellicrack\ui\app.py,812,4,,,,method 'MainWindow._on_tool_result' - complexity 24 (rank D),,24,D,MainWindow._on_tool_result,M,,,,,,,
radon,src\intellicrack\ui\app.py,1872,4,,,,method 'MainWindow.close_event_handler' - complexity 16 (rank C),,16,C,MainWindow.close_event_handler,M,,,,,,,
