tool,file,line,column,severity,code,rule,message,confidence,complexity,rank,name,entity_type,category,function,variable,crate,vulnerability,misspelling,correction
xenon,src\intellicrack\providers\model_loader.py,469,,,,,'load_model_for_xpu' has rank C (complexity > threshold),,20,C,load_model_for_xpu,,,,,,,,
xenon,src\intellicrack\providers\model_loader.py,581,,,,,'load_model_for_cpu' has rank C (complexity > threshold),,20,C,load_model_for_cpu,,,,,,,,
xenon,src\intellicrack\providers\ollama.py,285,,,,,'_get_client_and_model' has rank C (complexity > threshold),,20,C,_get_client_and_model,,,,,,,,
xenon,src\intellicrack\providers\ollama.py,596,,,,,'_convert_messages_to_provider_format' has rank C (complexity > threshold),,20,C,_convert_messages_to_provider_format,,,,,,,,
xenon,src\intellicrack\providers\openai.py,401,,,,,'chat_stream' has rank C (complexity > threshold),,20,C,chat_stream,,,,,,,,
xenon,src\intellicrack\providers\openai.py,491,,,,,'_convert_messages_to_provider_format' has rank C (complexity > threshold),,20,C,_convert_messages_to_provider_format,,,,,,,,
xenon,src\intellicrack\providers\xpu_utils.py,217,,,,,'get_xpu_device_info' has rank D (complexity > threshold),,30,D,get_xpu_device_info,,,,,,,,
xenon,src\intellicrack\providers\xpu_utils.py,419,,,,,'get_xpu_memory_info' has rank C (complexity > threshold),,20,C,get_xpu_memory_info,,,,,,,,
xenon,src\intellicrack\sandbox\windows.py,301,,,,,'_generate_wsb_config' has rank C (complexity > threshold),,20,C,_generate_wsb_config,,,,,,,,
xenon,src\intellicrack\sandbox\windows.py,548,,,,,'run_binary' has rank C (complexity > threshold),,20,C,run_binary,,,,,,,,
xenon,src\intellicrack\ui\app.py,812,,,,,'_on_tool_result' has rank D (complexity > threshold),,30,D,_on_tool_result,,,,,,,,
xenon,src\intellicrack\ui\app.py,1872,,,,,'close_event_handler' has rank C (complexity > threshold),,20,C,close_event_handler,,,,,,,,
xenon,src\intellicrack\ui\tools.py,1401,,,,,'_on_tab_close_requested' has rank D (complexity > threshold),,30,D,_on_tab_close_requested,,,,,,,,
xenon,src\intellicrack\ui\tools.py,1473,,,,,'close_embedded_tools' has rank C (complexity > threshold),,20,C,close_embedded_tools,,,,,,,,
xenon,tests\test_core\test_license_analyzer.py,693,,,,,'TestLicensingAnalysisDataclass' has rank C (complexity > threshold),,20,C,TestLicensingAnalysisDataclass,,,,,,,,
xenon,tests\test_core\test_license_analyzer.py,700,,,,,'test_licensing_analysis_fields' has rank C (complexity > threshold),,20,C,test_licensing_analysis_fields,,,,,,,,
xenon,tests\test_providers\test_model_discovery.py,107,,,,,'TestAllProvidersModelCount' has rank C (complexity > threshold),,20,C,TestAllProvidersModelCount,,,,,,,,
xenon,tests\test_providers\test_model_discovery.py,112,,,,,'test_summary_all_providers' has rank C (complexity > threshold),,20,C,test_summary_all_providers,,,,,,,,
xenon,tests\test_ui\test_app_embedded_tools.py,114,,,,,'test_embedded_tools_menu_actions_count' has rank C (complexity > threshold),,20,C,test_embedded_tools_menu_actions_count,,,,,,,,
xenon,tests\test_ui\test_app_embedded_tools.py,83,,,,,'TestEmbeddedToolsMenuIntegration' has rank C (complexity > threshold),,20,C,TestEmbeddedToolsMenuIntegration,,,,,,,,
xenon,src\intellicrack\bridges\frida_bridge.py,935,,,,,'hook_function' has rank C (complexity > threshold),,20,C,hook_function,,,,,,,,
xenon,src\intellicrack\bridges\process.py,1110,,,,,'search_pattern' has rank C (complexity > threshold),,20,C,search_pattern,,,,,,,,
xenon,src\intellicrack\core\logging.py,425,,,,,'_sanitize_arguments' has rank C (complexity > threshold),,20,C,_sanitize_arguments,,,,,,,,
xenon,src\intellicrack\core\script_gen.py,175,,,,,'to_prompt_context' has rank C (complexity > threshold),,20,C,to_prompt_context,,,,,,,,
xenon,src\intellicrack\credentials\env_loader.py,283,,,,,'_validate_key_format' has rank C (complexity > threshold),,20,C,_validate_key_format,,,,,,,,
xenon,src\intellicrack\ui\highlighter.py,774,,,,,'_highlight_triple_quotes' has rank C (complexity > threshold),,20,C,_highlight_triple_quotes,,,,,,,,
xenon,src\intellicrack\ui\sandbox_config.py,91,,,,,'run' has rank C (complexity > threshold),,20,C,run,,,,,,,,
xenon,src\intellicrack\ui\tool_config.py,357,,,,,'_update_radare2_path' has rank C (complexity > threshold),,20,C,_update_radare2_path,,,,,,,,
xenon,src\intellicrack\ui\panels\binary_panel.py,282,,,,,'_parse_sections' has rank C (complexity > threshold),,20,C,_parse_sections,,,,,,,,
xenon,src\intellicrack\ui\panels\licensing_panel.py,135,,,,,'update_from_analysis' has rank C (complexity > threshold),,20,C,update_from_analysis,,,,,,,,
xenon,src\intellicrack\ui\panels\process_panel.py,467,,,,,'_on_refresh_finished' has rank C (complexity > threshold),,20,C,_on_refresh_finished,,,,,,,,
xenon,tests\test_core\test_types.py,475,,,,,'test_licensing_analysis_full_creation' has rank C (complexity > threshold),,20,C,test_licensing_analysis_full_creation,,,,,,,,
