101 findings in prompts.md

prompts.md:505:81 error MD013/line-length Line length [Expected: 80; Actual: 87]

prompts.md:509:81 error MD013/line-length Line length [Expected: 80; Actual: 102]

prompts.md:520:81 error MD013/line-length Line length [Expected: 80; Actual: 104]

prompts.md:533:81 error MD013/line-length Line length [Expected: 80; Actual: 136]

prompts.md:538:81 error MD013/line-length Line length [Expected: 80; Actual: 145]

prompts.md:539:81 error MD013/line-length Line length [Expected: 80; Actual: 88]

prompts.md:540:81 error MD013/line-length Line length [Expected: 80; Actual: 91]

prompts.md:569:81 error MD013/line-length Line length [Expected: 80; Actual: 97]

prompts.md:576 error MD040/fenced-code-language Fenced code blocks should have a language specified [Context: "```"]

prompts.md:577:81 error MD013/line-length Line length [Expected: 80; Actual: 330]

prompts.md:591:81 error MD013/line-length Line length [Expected: 80; Actual: 115]

prompts.md:597:81 error MD013/line-length Line length [Expected: 80; Actual: 138]

prompts.md:604:81 error MD013/line-length Line length [Expected: 80; Actual: 104]

prompts.md:608:81 error MD013/line-length Line length [Expected: 80; Actual: 96]

prompts.md:616:81 error MD013/line-length Line length [Expected: 80; Actual: 97]

prompts.md:640:81 error MD013/line-length Line length [Expected: 80; Actual: 149]

prompts.md:641:81 error MD013/line-length Line length [Expected: 80; Actual: 155]

prompts.md:676:81 error MD013/line-length Line length [Expected: 80; Actual: 97]

prompts.md:685:81 error MD013/line-length Line length [Expected: 80; Actual: 112]


91 findings in vendor/community-patterns/README.md

vendor/community-patterns/README.md:3:81 error MD013/line-length Line length [Expected: 80; Actual: 138]

vendor/community-patterns/README.md:6:81 error MD013/line-length Line length [Expected: 80; Actual: 88]

vendor/community-patterns/README.md:17:81 error MD013/line-length Line length [Expected: 80; Actual: 130]

vendor/community-patterns/README.md:18:81 error MD013/line-length Line length [Expected: 80; Actual: 109]

vendor/community-patterns/README.md:25:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:25:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:25:22 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:25:36 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:25:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:25:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:25:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:25:22 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:45:81 error MD013/line-length Line length [Expected: 80; Actual: 178]

vendor/community-patterns/README.md:50:10 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:52:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:53:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:54:10 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:75:81 error MD013/line-length Line length [Expected: 80; Actual: 169]

vendor/community-patterns/README.md:80:33 error MD060/table-column-style Table column style [Table pipe has extra space to the right for style "compact"]

vendor/community-patterns/README.md:87:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:112:13 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:112:12 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:113:16 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:113:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:114:21 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:114:20 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:115:10 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:115:9 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:116:9 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:116:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:119:9 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:119:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:120:14 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:177:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:207:41 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:230:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:230:25 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:230:73 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:231:134 error MD055/table-pipe-style Table pipe style [Expected: leading_and_trailing; Actual: leading_only; Missing trailing pipe]

vendor/community-patterns/README.md:239:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:240:8 error MD060/table-column-style Table column style [Table pipe has extra space to the left for style "compact"]

vendor/community-patterns/README.md:252:11 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:252:56 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:252:123 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:253:11 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:253:56 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:253:116 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:258:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:258:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:258:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:258:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:258:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:258:15 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:267:18 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:267:67 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:267:100 error MD060/table-column-style Table column style [Table pipe does not align with header for style "aligned"]

vendor/community-patterns/README.md:272:8 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:272:15 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:272:29 error MD060/table-column-style Table column style [Table pipe is missing space to the left for style "compact"]

vendor/community-patterns/README.md:272:1 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

vendor/community-patterns/README.md:272:8 error MD060/table-column-style Table column style [Table pipe is missing space to the right for style "compact"]

